name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
Alpine-DAV/vtkm_sprint.io	1531751872	1534787076	3035204	157011588	153976384	0	0	0	0	0	0	0	1	19	1.0	0	0	0	0	0	0	0	0	0
Alpine-DAV/WarpX	1544661129	1688163752	143502623	144102331	599708	0	0	0	0	1	0	140	70	8178	0.17	0.16	0.12	0.1	0.09	0.08	0.06	0.04	0.03	0.03
Alpine-DAV/WarpXTestSimulation	1554851390	1554852291	901	133912070	133911169	0	0	0	0	0	0	0	1	2	1.0	0	0	0	0	0	0	0	0	0
alpinelinux/linux-stable-grsec	1347893879	1439291883	91398004	340869581	249471577	17	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0
alpscale/linux	1407742150	1410521967	2779817	281021310	278241493	0	0	0	0	0	0	0	100	134024	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
Alsan/gitignore	1419488900	1444035952	24547052	269274560	244727508	0	0	0	0	1	0	84178	100	999	0.33	0.12	0.1	0.04	0.03	0.02	0.02	0.01	0.01	0.01
alskjstl/linux	1443493051	1443458597	-34454	245270409	245304863	0	0	0	0	1	0	48616	100	154102	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
Altaf-Mahdi/android_kernel_msm	1441475374	1441475639	265	247288086	247287821	0	0	0	0	1	0	387	100	92439	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Altaf-Mahdi/android_kernel_oneplus_msm8974	1428360247	1447613024	19252777	260403213	241150436	2	0	0	0	1	0	293	100	93093	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Altaf-Mahdi/android_kernel_oneplus_msm8994	1450231346	1474058182	23826836	238532114	214705278	1	0	0	0	1	4	117	100	112573	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Altaf-Mahdi/android_kernel_oneplus_msm8996	1468097976	1494235701	26137725	220665484	194527759	1	0	0	0	1	0	44	100	138378	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
Altaf-Mahdi/bacon	1428360247	1447613024	19252777	260403213	241150436	2	0	0	0	1	0	293	100	93093	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Altaf-Mahdi/flo	1379464325	1396972924	17508599	309299135	291790536	0	0	0	0	0	1	1	100	92857	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Altaf-Mahdi/grouper	1364691043	1388536156	23845113	324072417	300227304	0	0	0	0	0	2	2	100	83200	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
