name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
SPEAR-IIT/CODES	1596048752	1669763121	73714369	92631340	18916971	0	0	0	0	0	0	0	13	962	0.54	0.15	0.14	0.07	0.04	0.03	0.01	0.01	0.01	0.01
SpencerCDixon/cdnjs	1413385932	1413388175	2243	275294160	275291917	0	0	0	0	1	0	4562	100	5629	0.24	0.22	0.17	0.08	0.05	0.01	0.01	0.01	0.01	0.01
SPIhub/hummingbird	1447772667	1687424120	239651453	240907425	1255972	16	0	0	31	0	13	13	18	871	0.53	0.14	0.1	0.06	0.04	0.04	0.02	0.02	0.02	0.01
Spin42/rails	1461505127	1489525860	28020733	227174965	199154232	0	0	0	0	1	0	21206	100	47899	0.1	0.09	0.08	0.08	0.05	0.05	0.03	0.03	0.03	0.02
SpiralsSeminaire/openwayback	1443619523	1443620000	477	245060569	245060092	0	0	0	0	1	0	271	25	1094	0.5	0.21	0.07	0.07	0.03	0.03	0.02	0.02	0.01	0.01
SpiriLiao/linux	1437305459	1437242912	-62547	251374633	251437180	0	0	0	0	1	0	48695	100	150842	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
SpiritBlood/kernel_lge_hammerhead	1412721839	1417123922	4402083	275958253	271556170	0	0	0	0	0	0	0	100	92437	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_amazon_otter-common	1422912484	1459288495	36376011	265767608	229391597	0	0	0	0	0	0	0	100	81146	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_asus_fugu	1434181519	1454948646	20767127	254498573	233731446	0	0	0	0	0	0	0	100	111700	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_asus_grouper	1424584064	1424585166	1102	264096028	264094926	0	0	0	0	0	0	0	100	83079	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_cyanogen_msm8916	1468245077	1468340889	95812	220435015	220339203	0	0	0	0	0	0	0	100	112216	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_google_msm	1423192502	1465418796	42226294	265487590	223261296	0	0	0	0	0	0	0	100	92075	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_hp_tenderloin	1425678161	1452282931	26604770	263001931	236397161	0	0	0	0	0	0	0	100	81151	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_htc_flounder	1422905096	1467927407	45022311	265774996	220752685	0	0	0	0	0	0	0	100	112751	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_htc_msm8960	1422759028	1465854552	43095524	265921064	222825540	0	0	0	0	0	5	5	100	93336	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_huawei_angler	1454875692	1471135447	16259755	233804400	217544645	0	0	0	0	0	0	0	100	112349	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_huawei_msm8928	1443491782	1460050131	16558349	245188310	228629961	0	0	0	0	0	0	0	100	92635	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_lge_g3	1424958930	1470976329	46017399	263721162	217703763	0	0	0	0	0	0	0	100	92450	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_lge_gee	1453051328	1461505104	8453776	235628764	227174988	0	0	0	0	0	0	0	100	92055	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_lge_gproj	1424823527	1445684206	20860679	263856565	242995886	0	0	0	0	0	0	0	100	92349	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_lge_hammerhead	1423192828	1459635623	36442795	265487264	229044469	0	0	0	0	0	0	0	100	92440	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_lge_msm8974	1427936637	1432487996	4551359	260743455	256192096	0	0	0	0	0	0	0	100	92374	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_lge_v500	1423028506	1447725173	24696667	265651586	240954919	0	0	0	0	0	0	0	100	92366	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_mediatek_sprout	1434662126	1434935457	273331	254017966	253744635	0	0	0	0	0	0	0	100	112102	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_ghost	1424043316	1465081450	41038134	264636776	223598642	0	0	0	0	0	0	0	100	92908	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_msm8226	1422969497	1448727267	25757770	265710595	239952825	0	0	0	0	0	0	0	100	93218	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_msm8610	1430772813	1452843846	22071033	257907279	235836246	0	0	0	0	0	0	0	100	93217	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_msm8916	1442986715	1504552091	61565376	245693377	184128001	0	0	0	0	0	0	0	100	112119	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_msm8939	1445046880	1447942627	2895747	243633212	240737465	0	0	0	0	0	0	0	100	112115	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_msm8960-common	1443823688	1443826625	2937	244856404	244853467	0	0	0	0	0	0	0	100	81405	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_msm8960dt-common	1443823485	1443826183	2698	244856607	244853909	0	0	0	0	0	0	0	100	93187	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_omap4-common	1423193088	1466035257	42842169	265487004	222644835	0	0	0	0	0	1	1	100	80591	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_otus	1443900995	1452093037	8192042	244779097	236587055	0	0	0	0	0	0	0	100	94122	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_motorola_titan	1422900147	1425930684	3030537	265779945	262749408	0	0	0	0	0	0	0	100	93208	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_moto_shamu	1422795212	1470956898	48161686	265884880	217723194	1	0	0	0	0	1	1	100	111948	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_nvidia_shieldtablet	1423704277	1443824015	20119738	264975815	244856077	0	0	0	0	0	0	0	100	112554	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_oneplus_msm8974	1428379327	1504552823	76173496	260300765	184127269	1	0	0	0	0	0	0	100	93515	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_oneplus_msm8996	1470805707	1471105176	299469	217874385	217574916	0	0	0	0	0	0	0	100	138300	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_samsung_d2	1430337099	1504552841	74215742	258342993	184127251	0	0	0	0	0	0	0	100	93370	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Split-Screen/android_kernel_samsung_exynos5410	1435505494	1442601697	7096203	253174598	246078395	0	0	0	0	0	0	0	100	92112	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
